name;Add;Sub;Mult;Div;For;While;Print;Mod;If;Eq;Is
Binarni cislo;1.20;1.00;0.40;0.00;1.00;0.00;0.00;0.00;0.60;0.60;0.00
Binarni zapis;1.40;0.00;0.00;0.40;0.00;0.80;1.00;1.00;0.80;0.80;0.00
Ciferny soucet;1.00;0.40;0.00;0.60;0.20;0.80;0.00;1.00;0.00;0.00;0.00
Cik-cak;0.20;0.00;0.00;0.00;1.80;0.00;3.20;1.20;1.20;1.20;0.00
Ctverec;1.60;2.00;1.00;0.00;1.60;0.00;1.80;0.00;0.80;2.80;0.00
Delitele;0.60;0.00;0.20;0.00;1.00;0.00;1.20;1.00;1.00;1.00;0.00
Dvojnasobek;1.00;0.00;0.80;0.00;0.00;0.00;1.00;0.20;0.00;0.00;0.00
Faktorial;0.20;0.60;1.00;0.00;0.40;0.20;0.00;0.00;0.40;0.20;0.00
Fibonacciho posloupnost;1.20;0.40;0.00;0.00;1.00;0.00;1.80;0.00;0.00;0.00;0.00
Mocniny dvojky;0.20;0.20;0.80;0.00;1.00;0.00;1.40;0.00;0.00;0.00;0.00
Nejdelsi slovo;0.00;0.00;0.00;0.00;1.20;0.00;0.00;0.00;1.60;0.60;0.00
Nejvetsi spolecny delitel;0.40;0.00;0.00;0.00;0.60;0.20;0.00;1.60;1.00;1.40;0.00
Palindrom;0.00;1.20;0.00;0.20;0.60;0.00;0.00;0.00;1.00;0.20;0.00
Pascaluv trojuhelnik;1.20;0.80;0.60;0.40;2.60;0.00;1.80;0.00;0.00;0.00;0.00
Pocet delitelu;1.60;0.00;0.00;0.00;0.60;0.20;0.00;1.00;0.80;0.80;0.00
Prvni pismena;1.60;0.40;0.00;0.00;1.00;0.00;0.00;0.00;0.80;1.00;0.00
Sachovnice;1.00;0.00;0.00;0.00;2.00;0.00;3.00;2.00;1.00;1.60;0.00
Soucet;1.20;0.40;0.20;0.20;0.40;0.00;0.00;0.00;0.40;0.20;0.00
Suda cisla;0.60;0.00;0.20;0.20;1.00;0.00;1.00;0.40;0.40;0.40;0.00
Tajna posloupnost;2.40;0.00;0.00;0.00;1.80;0.00;1.00;0.00;1.00;0.40;0.00
Vypis prvocisel;2.20;0.00;0.00;0.00;1.00;0.60;0.40;1.00;1.80;2.00;0.00
