name;+;-;*;/;for;while;print;%;if;==;is
Binarni cislo;1.75;1.75;2.25;0.00;1.00;0.00;0.00;0.00;0.50;0.25;0.75
Binarni zapis;1.50;0.00;0.00;1.25;0.00;0.75;1.00;1.00;1.00;1.00;1.00
Ciferny soucet;1.00;0.00;0.00;1.00;0.25;0.75;0.00;0.50;1.00;0.00;0.00
Cik-cak;0.25;0.00;0.00;0.00;1.75;0.00;2.75;1.00;1.00;1.00;0.00
Ctverec;2.50;1.50;3.50;0.00;1.50;0.00;2.75;0.00;0.75;1.50;0.00
Delitele;0.25;0.00;0.00;0.00;1.00;0.00;1.25;0.75;1.00;1.00;0.00
Dvojnasobek;0.50;0.00;0.50;0.00;0.00;0.00;1.25;0.00;0.00;0.00;1.00
Faktorial;0.25;0.50;1.00;0.00;0.50;0.25;0.00;0.00;0.25;0.25;0.00
Fibonacciho posloupnost;1.25;0.25;0.00;0.00;1.00;0.00;1.50;0.00;0.00;0.00;0.00
Mocniny dvojky;0.25;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00
Nejdelsi slovo;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.75;0.75;0.00
Nejvetsi spolecny delitel;0.50;0.00;0.00;0.00;0.50;0.25;0.00;1.50;1.00;1.25;0.00
Palindrom;0.00;1.50;0.00;0.00;0.25;0.00;0.00;0.00;1.25;0.75;0.00
Pascaluv trojuhelnik;0.50;0.75;0.75;0.50;2.50;0.00;1.50;0.25;0.00;0.00;0.25
Pocet delitelu;1.25;0.00;0.00;0.50;1.00;0.00;0.00;1.00;1.25;0.75;0.00
Prvni pismena;1.00;0.25;0.00;0.00;0.75;0.00;0.00;0.25;1.00;1.25;1.00
Sachovnice;0.50;0.00;0.00;0.00;2.00;0.00;2.75;1.75;1.25;1.25;0.00
Soucet;1.25;0.25;0.25;0.25;0.50;0.00;0.00;0.00;0.25;0.25;0.00
Suda cisla;0.50;0.00;0.00;0.00;1.00;0.00;1.00;0.50;0.50;0.50;0.00
Tajna posloupnost;1.75;0.00;0.00;0.00;1.75;0.00;1.00;0.00;0.75;0.50;0.00
Trojuhelnik;0.00;0.50;0.50;0.00;1.25;0.00;1.00;0.00;0.00;0.00;0.00
Velke X;0.75;0.75;0.00;0.00;2.00;0.00;1.00;0.00;1.00;1.75;0.00
Vypis prvocisel;1.75;0.00;0.00;0.00;0.75;0.75;0.25;0.75;1.50;1.50;2.00
