name;+;-;*;/;for;while;print;%;^;try:;if; break;==
Binarni cislo;1.00;2.00;2.50;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.50;0.00;0.50
Binarni zapis;2.00;0.00;0.00;1.50;0.00;1.00;1.00;1.00;0.00;0.00;1.00;0.00;1.00
Ciferny soucet;1.00;0.00;0.00;1.50;0.00;1.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00
Cik-cak;0.50;0.00;0.00;0.00;2.00;0.00;3.50;1.50;0.00;0.00;1.50;0.00;1.50
Ctverec;2.00;2.00;4.00;0.00;1.50;0.00;3.00;0.00;0.00;0.00;0.50;0.00;2.00
Delitele;0.50;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;1.00;0.00;1.00
Dvojnasobek;0.50;0.00;0.50;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
Faktorial;0.50;0.50;1.00;0.00;0.50;0.00;0.00;0.00;0.00;0.00;0.50;0.00;0.50
Fibonacciho posloupnost;1.00;0.50;0.00;0.00;1.00;0.00;1.50;0.00;0.00;0.00;0.00;0.00;0.00
Mocniny dvojky;0.00;0.00;1.50;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
Nejdelsi slovo;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.50;0.00;0.50
Nejvetsi spolecny delitel;0.50;0.00;0.00;0.00;0.50;0.50;0.00;1.50;0.00;0.00;0.50;0.00;1.00
Palindrom;0.00;1.50;0.00;0.00;0.50;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00
Pascaluv trojuhelnik;0.50;1.00;1.00;0.50;2.50;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
Pocet delitelu;1.50;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00
Prvni pismena;1.00;0.00;0.00;0.00;0.50;0.00;0.00;0.50;0.00;0.00;1.00;0.00;1.00
Sachovnice;0.50;0.00;0.00;0.00;2.00;0.00;2.50;1.50;0.00;0.00;1.50;0.00;1.50
Soucet;1.50;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Suda cisla;0.50;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;1.00;0.00;1.00
Tajna posloupnost;1.00;0.00;0.00;0.00;1.50;0.00;1.00;0.00;0.00;0.00;0.50;0.00;0.50
Trojuhelnik;0.00;0.50;0.00;0.00;1.50;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
Velke X;0.50;1.50;0.00;0.00;2.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;2.00
Vypis prvocisel;2.00;0.00;0.00;0.00;1.00;1.00;0.50;1.00;0.00;0.00;2.00;0.00;2.00
