name;Add;Sub;Mult;Div;For;While;Print;Mod;If;Eq;Is
Binarni cislo;1.60;1.00;0.00;1.40;0.00;0.00;0.00;0.00;0.40;0.60;0.40
Binarni zapis;0.00;0.00;0.00;1.40;0.80;1.00;0.20;1.00;0.80;0.00;0.80
Ciferny soucet;0.20;0.40;0.00;1.20;0.60;0.00;0.60;0.80;0.00;0.00;0.00
Cik-cak;0.00;1.80;0.00;0.20;0.00;3.20;0.00;1.20;1.20;0.00;1.20
Ctverec;1.60;1.60;0.00;1.20;0.00;2.80;0.00;0.00;1.20;1.00;0.80
Delitele;0.00;1.00;0.00;0.20;0.00;1.20;0.00;0.80;1.00;0.20;1.00
Dvojnasobek;0.00;0.00;0.00;0.80;0.00;0.80;0.00;0.00;0.00;0.60;0.00
Faktorial;0.60;0.60;0.00;0.20;0.20;0.00;0.00;0.00;0.20;1.00;0.20
Fibonacciho posloupnost;0.40;1.00;0.00;1.20;0.00;1.80;0.00;0.00;0.00;0.00;0.00
Mocniny dvojky;0.20;1.00;0.00;0.20;0.00;1.40;0.00;0.00;0.00;0.80;0.00
Nejdelsi slovo;0.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.60;0.00;1.60
Nejvetsi spolecny delitel;0.00;0.60;0.00;0.40;0.20;0.00;0.00;1.60;1.40;0.00;1.00
Palindrom;0.60;0.20;0.00;0.00;0.00;0.00;0.00;0.00;0.60;0.00;1.20
Pascaluv trojuhelnik;0.80;2.60;0.00;1.20;0.00;1.80;0.40;0.00;0.00;0.60;0.00
Pocet delitelu;0.00;0.80;0.00;1.20;0.00;0.00;0.00;1.00;0.80;0.00;1.00
Prvni pismena;0.40;0.80;0.00;1.00;0.00;0.00;0.00;0.20;1.00;0.00;0.80
Sachovnice;0.00;2.00;0.00;1.00;0.00;3.00;0.00;2.00;1.60;0.00;1.00
Soucet;0.20;0.40;0.00;1.20;0.00;0.00;0.20;0.00;0.20;0.20;0.20
Suda cisla;0.00;1.00;0.00;0.40;0.00;1.00;0.20;0.40;0.40;0.20;0.40
Tajna posloupnost;0.00;1.60;0.00;1.80;0.00;1.00;0.00;0.00;0.40;0.00;0.80
Vypis prvocisel;0.00;1.20;0.00;2.20;0.60;0.60;0.00;1.00;2.00;0.00;2.00
