name;Add;Sub;Mult;Div;For;While;Print;Mod;If;Eq;Is
Binarni cislo;1.50;1.00;0.00;1.25;0.00;0.00;0.00;0.00;0.50;0.50;0.50
Binarni zapis;0.00;0.00;0.00;1.50;0.75;1.00;0.25;1.00;1.00;0.00;1.00
Ciferny soucet;0.00;0.50;0.00;1.25;0.50;0.00;0.50;0.75;0.00;0.00;0.00
Cik-cak;0.00;1.75;0.00;0.25;0.00;2.75;0.00;1.00;1.00;0.00;1.00
Ctverec;1.50;1.50;0.00;1.50;0.00;2.75;0.00;0.00;1.50;1.25;0.75
Delitele;0.00;1.00;0.00;0.25;0.00;1.25;0.00;0.75;1.00;0.00;1.00
Dvojnasobek;0.00;0.00;0.00;0.25;0.00;0.75;0.00;0.00;0.00;0.50;0.00
Faktorial;0.50;0.50;0.00;0.25;0.25;0.00;0.00;0.00;0.25;1.00;0.25
Fibonacciho posloupnost;0.50;1.00;0.00;1.25;0.00;1.75;0.00;0.00;0.00;0.00;0.00
Mocniny dvojky;0.00;1.00;0.00;0.25;0.00;1.25;0.00;0.00;0.00;0.75;0.00
Nejdelsi slovo;0.00;1.25;0.00;0.00;0.00;0.00;0.00;0.00;0.75;0.00;1.50
Nejvetsi spolecny delitel;0.00;0.75;0.00;0.50;0.25;0.00;0.00;1.75;1.50;0.00;1.00
Palindrom;0.75;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.75;0.00;1.25
Pascaluv trojuhelnik;0.75;2.50;0.00;1.00;0.00;1.75;0.50;0.00;0.00;0.75;0.00
Pocet delitelu;0.00;1.00;0.00;1.25;0.00;0.00;0.00;1.00;0.75;0.00;1.25
Prvni pismena;0.25;0.75;0.00;1.00;0.00;0.00;0.00;0.25;1.00;0.00;0.75
Sachovnice;0.00;2.00;0.00;0.50;0.00;3.00;0.00;2.25;1.75;0.00;1.00
Soucet;0.00;0.50;0.00;1.25;0.00;0.00;0.25;0.00;0.00;0.25;0.00
Suda cisla;0.00;1.00;0.00;0.50;0.00;1.00;0.00;0.50;0.50;0.00;0.50
Tajna posloupnost;0.00;1.50;0.00;1.50;0.00;1.00;0.00;0.00;0.25;0.00;0.75
Vypis prvocisel;0.00;1.25;0.00;2.00;0.50;0.50;0.00;1.00;2.00;0.00;2.00
