name;+;-;*;/;for;while;print;%;^;try:;if; break;==
Binarni cislo;1.33;1.67;2.67;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.33;0.00;0.33
Binarni zapis;1.33;0.00;0.00;1.00;0.00;0.67;1.33;1.00;0.00;0.00;1.00;0.00;1.00
Ciferny soucet;1.00;0.00;0.00;1.33;0.00;1.00;0.00;0.67;0.00;0.00;1.00;0.00;0.00
Cik-cak;0.33;0.00;0.00;0.00;2.00;0.00;3.33;1.33;0.00;0.00;1.33;0.00;1.33
Ctverec;2.33;2.00;4.33;0.00;1.33;0.00;2.67;0.00;0.00;0.00;0.67;0.00;2.00
Delitele;0.33;0.00;0.00;0.00;1.00;0.00;1.00;0.67;0.00;0.00;1.00;0.00;1.00
Dvojnasobek;0.67;0.00;0.67;0.00;0.00;0.00;1.33;0.00;0.00;0.00;0.00;0.00;0.00
Faktorial;0.33;0.33;1.00;0.00;0.67;0.00;0.00;0.00;0.00;0.00;0.33;0.00;0.33
Fibonacciho posloupnost;1.00;0.33;0.00;0.00;1.00;0.00;1.67;0.00;0.00;0.00;0.00;0.00;0.00
Mocniny dvojky;0.00;0.00;1.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
Nejdelsi slovo;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.33;0.00;0.67
Nejvetsi spolecny delitel;0.67;0.00;0.00;0.00;0.67;0.33;0.00;1.67;0.00;0.00;1.00;0.00;1.33
Palindrom;0.00;1.33;0.00;0.00;0.33;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.33
Pascaluv trojuhelnik;0.67;0.67;0.67;0.33;2.67;0.00;1.33;0.00;0.00;0.00;0.00;0.00;0.00
Pocet delitelu;1.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00
Prvni pismena;1.00;0.33;0.00;0.00;0.67;0.00;0.00;0.33;0.00;0.00;1.00;0.00;1.33
Sachovnice;0.67;0.00;0.00;0.00;2.00;0.00;2.67;1.67;0.00;0.00;1.33;0.00;1.33
Soucet;1.33;0.00;0.33;0.33;0.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Suda cisla;0.33;0.00;0.00;0.00;1.00;0.00;1.00;0.67;0.00;0.00;0.67;0.00;0.67
Tajna posloupnost;1.33;0.00;0.00;0.00;1.33;0.00;1.00;0.00;0.00;0.00;0.67;0.00;0.33
Trojuhelnik;0.00;0.33;0.33;0.00;1.33;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
Velke X;0.33;1.00;0.00;0.00;2.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;1.67
Vypis prvocisel;2.33;0.00;0.00;0.00;1.00;1.00;0.33;1.00;0.00;0.00;2.00;0.00;2.00
