name;+;-;*;/;for;while;print;%;^;try:;if; break;==
Binarni cislo;1.20;1.40;2.20;0.00;0.80;0.00;0.00;0.00;0.00;0.40;0.20;0.00;0.20
Binarni zapis;1.40;0.00;0.00;1.40;0.00;0.80;1.00;1.00;0.00;0.00;0.80;0.00;0.80
Ciferny soucet;1.00;0.00;0.00;1.20;0.20;0.80;0.00;0.40;0.00;0.00;1.00;0.00;0.00
Cik-cak;0.20;0.00;0.00;0.00;1.80;0.00;3.00;1.20;0.00;0.00;1.20;0.00;1.00
Ctverec;2.20;1.60;3.00;0.00;1.60;0.00;2.80;0.00;0.00;0.00;0.80;0.00;1.20
Delitele;0.20;0.00;0.20;0.00;1.00;0.00;1.20;0.80;0.00;0.00;1.00;0.00;1.00
Dvojnasobek;1.00;0.00;0.40;0.20;0.00;0.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00
Faktorial;0.20;0.60;1.00;0.00;0.40;0.20;0.00;0.00;0.00;0.00;0.40;0.00;0.20
Fibonacciho posloupnost;1.20;0.40;0.00;0.00;1.00;0.00;1.80;0.00;0.00;0.00;0.00;0.00;0.00
Mocniny dvojky;0.20;0.00;0.80;0.00;1.00;0.00;0.80;0.00;0.00;0.00;0.20;0.00;0.00
Nejdelsi slovo;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.80;0.00;0.60
Nejvetsi spolecny delitel;0.40;0.00;0.00;0.00;0.60;0.20;0.00;1.60;0.00;0.00;1.00;0.00;1.40
Palindrom;0.00;1.60;0.00;0.20;0.40;0.00;0.00;0.00;0.00;0.00;1.20;0.00;0.60
Pascaluv trojuhelnik;0.60;0.80;1.00;0.60;2.40;0.00;1.20;0.20;0.00;0.00;0.00;0.00;0.00
Pocet delitelu;1.00;0.00;0.00;0.40;1.20;0.00;0.00;1.00;0.00;0.00;1.20;0.00;0.80
Prvni pismena;1.00;0.40;0.00;0.00;0.80;0.00;0.00;0.20;0.00;0.00;1.00;0.00;1.20
Sachovnice;0.40;0.00;0.00;0.00;2.00;0.00;2.80;2.20;0.00;0.00;1.20;0.00;1.80
Soucet;1.20;0.40;0.20;0.20;0.40;0.00;0.00;0.00;0.00;0.00;0.40;0.00;0.20
Suda cisla;0.40;0.00;0.20;0.20;1.00;0.00;1.00;0.40;0.00;0.00;0.40;0.00;0.40
Tajna posloupnost;1.80;0.00;0.00;0.00;1.60;0.00;1.00;0.00;0.00;0.00;0.80;0.00;0.40
Trojuhelnik;0.00;0.40;0.40;0.00;1.40;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00
Velke X;0.80;0.80;0.20;0.80;1.80;0.00;0.80;0.20;0.00;0.00;1.00;0.00;1.60
Vypis prvocisel;2.20;0.00;0.00;0.00;1.00;0.80;0.20;1.00;0.00;0.00;1.80;0.00;1.80
